rf_channel,callsign,service_class,distance_km,bearing_deg,frequency_tolerance,city,state_prov
30,CHKL-1,Relay,37.8,5.6,±1 kHz,Penticton,BC
24,CHKL-DT+CHBC-DT,Full-power,72.1,5.4,±1 kHz,Kelowna,BC
31,CH4491-DT,Relay,86.2,9.5,±1 kHz,Winfield,BC
34,CH4490-DT,Relay,86.2,9.5,±1 kHz,Winfield,BC
17,K17KR-D,Translator (LPTV),99.8,215.4,None specified,MAZAMA,WA
19,K19JC-D,Translator (LPTV),99.8,215.4,None specified,MAZAMA,WA
21,K21LD-D,Translator (LPTV),99.8,215.4,None specified,MAZAMA,WA
17,K17EV-D,Translator (LPTV),101.4,176.0,None specified,OMAK,WA
19,K19AU-D,Translator (LPTV),101.4,176.0,None specified,"OMAK, OKANOGAN, ETC.",WA
26,K26GV-D,Translator (LPTV),101.4,176.0,None specified,OMAK,WA
31,K31AH-D,Translator (LPTV),101.4,176.0,None specified,"OMAK, ETC",WA
33,K33NM-D,Translator (LPTV),101.4,176.0,None specified,"OMAK, ETC.",WA
35,K35MN-D,Translator (LPTV),101.4,176.0,None specified,"OMAK, ETC.",WA
22,CHKL-2,Relay,108.8,11.6,±1 kHz,Vernon,BC
36,K36PH-D,Translator (LPTV),135.2,192.0,None specified,METHOW,WA
14,K14SF-D,Translator (LPTV),136.8,184.9,None specified,BREWSTER & PATEROS,WA
34,K34NN-D,Translator (LPTV),136.8,184.9,None specified,BREWSTER & PATEROS,WA
22,K22MO-D,Translator (LPTV),143.2,188.4,None specified,PATEROS,WA
23,K23MU-D,Translator (LPTV),146.5,181.4,None specified,BRIDGEPORT,WA
24,K24LM-D,Translator (LPTV),146.5,181.4,None specified,BRIDGEPORT,WA
25,K25NY-D,Translator (LPTV),146.5,181.4,None specified,BRIDGEPORT,WA
16,CHWW-DT,Full-power,148.9,79.1,±1 kHz,Winlaw,BC
24,CHCV-DT,Full-power,151.5,82.2,±1 kHz,Crescent Valley,BC
14,CH2516-DT,Relay,156.4,327.5,±1 kHz,Logan Lake,BC
16,CH5530-DT,Relay,156.4,327.5,±1 kHz,Logan Lake,BC
18,CH2518-DT,Relay,156.4,327.5,±1 kHz,Logan Lake,BC
20,CH5531-DT,Relay,156.4,327.5,±1 kHz,Logan Lake,BC
24,CH5532-DT,Relay,156.4,327.5,±1 kHz,Logan Lake,BC
26,CH2519-DT,Relay,156.4,327.5,±1 kHz,Logan Lake,BC
28,CH5533-DT,Relay,156.4,327.5,±1 kHz,Logan Lake,BC
30,CH2520-DT,Relay,156.4,327.5,±1 kHz,Logan Lake,BC
32,CH5534-DT,Relay,156.4,327.5,±1 kHz,Logan Lake,BC
34,CH3083-DT,Relay,156.4,327.5,±1 kHz,Logan Lake,BC
22,CHKM-DT,Full-power,160.0,340.0,±1 kHz,Kamloops,BC
32,K32MC-D,Translator (LPTV),167.4,190.1,None specified,BAKER FLATS AREA,WA
31,CHAN-1,Relay,176.8,261.8,±1 kHz,Chilliwack,BC
28,CFEG-TV,Full-power,199.5,262.5,±1 kHz,Abbotsford,BC
14,KVOS-TV,Full-power,217.3,254.4,±1 kHz,BELLINGHAM,WA
15,K15MW-D,Translator (LPTV),217.3,254.4,None specified,BELLINGHAM,WA
18,K18AD-D,Translator (LPTV),217.3,193.4,None specified,"EAST WENATCHEE, ETC.",WA
18,K18NJ-D,Translator (LPTV),217.3,254.4,None specified,BELLINGHAM,WA
19,KBCB,Full-power,217.3,254.4,±1 kHz,BELLINGHAM,WA
30,K30RC-D,Translator (LPTV),217.3,254.4,None specified,BELLINGHAM,WA
36,K36KY-D,Translator (LPTV),217.3,193.8,None specified,WENATCHEE,WA
36,K36PW-D,Translator (LPTV),217.3,111.0,None specified,PRIEST LAKE,ID
31,K31DS-D,Translator (LPTV),223.7,113.7,None specified,COOLIN,ID
32,K32OA-D,Translator (LPTV),223.7,113.7,None specified,COOLIN,ID
33,K33QB-D,Translator (LPTV),223.7,113.7,None specified,COOLIN,ID
20,CHNM-DT,Full-power,241.3,272.2,±1 kHz,Vancouver,BC
33,CKVU-DT,Full-power,241.3,272.2,±1 kHz,Vancouver,BC
29,K29ED-D,Translator (LPTV),241.4,232.7,None specified,EVERETT,WA
26,CBUFT-DT,Full-power,241.5,272.1,±1 kHz,Vancouver,BC
35,CBUT-DT,Full-power,241.5,272.1,±1 kHz,Vancouver,BC
17,CIVI-2,Relay,241.6,272.2,±1 kHz,Vancouver,BC
24,CHNU-DT,Full-power,241.6,272.2,±1 kHz,Fraser Valley,BC
32,CIVT-DT,Full-power,241.6,272.2,±1 kHz,Vancouver,BC
22,CHAN-DT,Full-power,242.7,271.9,±1 kHz,Vancouver,BC
19,K19NN-D,Translator (LPTV),244.6,173.9,None specified,"MOSES LAKE, ETC.",WA
34,K34ND-D,Translator (LPTV),244.6,173.9,None specified,MOSES LAKE,WA
14,KQUP-LD,Low-power (LPTV),246.2,138.0,None specified,SPOKANE,WA
15,KHQ-TV,Full-power,246.2,138.0,±1 kHz,SPOKANE,WA
20,KREM,Full-power,246.2,138.0,±1 kHz,SPOKANE,WA
22,KXLY-TV,Full-power,246.2,138.0,±1 kHz,SPOKANE,WA
28,KAYU-TV,Full-power,246.2,138.0,±1 kHz,SPOKANE,WA
29,K29NM-D,Translator (LPTV),246.2,138.0,None specified,SPOKANE,WA
32,KDYS-LD,Low-power (LPTV),246.2,138.0,None specified,SPOKANE,WA
34,KGPX-TV,Full-power,246.2,138.0,±1 kHz,SPOKANE,WA
35,KHBA-LD,Low-power (LPTV),246.2,138.0,None specified,SPOKANE,WA
36,KSKN,Full-power,246.2,138.0,±1 kHz,SPOKANE,WA
35,KQAH-LD,Low-power (LPTV),249.4,228.3,None specified,MALTBY,WA
17,K17NZ-D,Translator (LPTV),251.1,104.9,None specified,BONNERS FERRY,ID
24,K24NO-D,Translator (LPTV),251.1,104.9,None specified,BONNERS FERRY,ID
25,K25MP-D,Translator (LPTV),251.1,104.9,None specified,BONNERS FERRY,ID
26,K26OO-D,Translator (LPTV),251.1,104.9,None specified,BONNERS FERRY,ID
31,K31NL-D,Translator (LPTV),251.1,104.9,None specified,BONNERS FERRY,ID
32,K32HA-D,Translator (LPTV),251.1,104.9,None specified,BONNERS FERRY,ID
35,K35IC-D,Translator (LPTV),251.1,104.9,None specified,BONNERS FERRY,ID
19,K19LE-D,Translator (LPTV),252.7,116.1,None specified,SANDPOINT,ID
21,K21NG-D,Translator (LPTV),252.7,116.1,None specified,SANDPOINT,ID
23,K23NM-D,Translator (LPTV),252.7,116.1,None specified,SANDPOINT,ID
30,K30LS-D,Translator (LPTV),252.7,116.1,None specified,SANDPOINT,ID
33,K33LW-D,Translator (LPTV),252.7,116.1,None specified,SANDPOINT,ID
16,CHEK-DT,Full-power,265.5,258.1,±1 kHz,Victoria,BC
17,K17IL-D,Translator (LPTV),267.2,195.2,None specified,"ELLENSBURG, ETC.",WA
20,K20JL-D,Translator (LPTV),267.2,195.2,None specified,"ELLENSBURG, ETC.",WA
23,K23NE-D,Translator (LPTV),267.2,195.2,None specified,ELLENSBURG,WA
25,K25FP-D,Translator (LPTV),267.2,195.2,None specified,ELLENSBURG,WA
26,K26NF-D,Translator (LPTV),267.2,195.2,None specified,ELLENSBURG,WA
27,K27OO-D,Translator (LPTV),267.2,195.2,None specified,ELLENSBURG,WA
32,K32IG-D,Translator (LPTV),267.2,195.2,None specified,"ELLENSBURG, ETC.",WA
33,KWPX-TV,Full-power,268.8,225.9,±1 kHz,BELLEVUE,WA
15,KUSE-LD,Low-power (LPTV),276.8,227.3,None specified,SEATTLE,WA
16,KFFV,Full-power,276.8,227.3,±1 kHz,SEATTLE,WA
17,KYMU-LD,Low-power (LPTV),276.8,227.3,None specified,SEATTLE,WA
18,KIRO-TV,Full-power,276.8,227.3,±1 kHz,SEATTLE,WA
20,K20NF-D,Translator (LPTV),276.8,227.3,None specified,SEATTLE,WA
23,KIRO-TV,Full-power,276.8,227.3,±1 kHz,SEATTLE,WA
25,KING-TV,Full-power,276.8,227.3,±1 kHz,SEATTLE,WA
28,KIRO-TV,Full-power,276.8,227.3,±1 kHz,SEATTLE,WA
30,KOMO-TV,Full-power,276.8,227.3,±1 kHz,SEATTLE,WA
32,KRUM-LD,Low-power (LPTV),276.8,227.3,None specified,SEATTLE,WA
36,KZJO,Full-power,276.8,227.3,±1 kHz,SEATTLE,WA
16,K16NR-D,Translator (LPTV),278.4,130.0,None specified,COEUR D'ALENE,ID
18,KCDT,Full-power,278.4,130.0,±1 kHz,COEUR D'ALENE,ID
26,K26LJ-D,Translator (LPTV),278.4,130.0,None specified,COEUR D'ALENE,ID
27,K27NC-D,Translator (LPTV),278.4,130.0,None specified,COEUR D'ALENE,ID
30,K30QA-D,Translator (LPTV),278.4,130.0,None specified,COEUR D'ALENE,ID
31,K31QK-D,Translator (LPTV),278.4,130.0,None specified,COEUR D'ALENE,ID
18,K18NI-D,Translator (LPTV),288.1,225.2,None specified,"POINT PULLEY, ETC.",WA
21,CHNU-1,Relay,289.2,251.3,±1 kHz,Victoria,BC
27,CKVU-2,Relay,289.2,251.3,±1 kHz,Victoria,BC
28,CIVI-DT,Full-power,289.2,251.3,±1 kHz,Victoria,BC
29,CHNM-1,Relay,289.2,251.3,±1 kHz,Victoria,BC
14,KAPP,Full-power,309.0,192.6,±1 kHz,YAKIMA,WA
15,K15KC-D,Translator (LPTV),309.0,192.6,None specified,YAKIMA,WA
16,KNDO,Full-power,309.0,192.6,±1 kHz,YAKIMA,WA
18,K18NH-D,Translator (LPTV),309.0,220.8,None specified,PUYALLUP,WA
20,K20LQ-D,Translator (LPTV),309.0,192.6,None specified,YAKIMA,WA
21,KYVE,Full-power,309.0,192.6,±1 kHz,YAKIMA,WA
25,K25PV-D,Translator (LPTV),309.0,192.6,None specified,YAKIMA,WA
29,KCYU-LD,Low-power (LPTV),309.0,192.6,None specified,YAKIMA,WA
30,KUNW-CD,Class A,309.0,192.6,±1 kHz,YAKIMA,WA
32,KYPK-LD,Low-power (LPTV),309.0,192.6,None specified,YAKIMA,WA
33,KIMA-TV,Full-power,309.0,192.6,±1 kHz,YAKIMA,WA
35,KDHW-CD,Class A,309.0,192.6,±1 kHz,YAKIMA,WA
36,KWYT-LD,Low-power (LPTV),309.0,192.6,None specified,YAKIMA,WA
21,KTBW-TV,Full-power,310.6,223.3,±1 kHz,TACOMA,WA
22,KCPQ,Full-power,310.6,223.3,±1 kHz,TACOMA,WA
27,KBTC-TV,Full-power,310.6,223.3,±1 kHz,TACOMA,WA
28,KBTC-TV,Full-power,310.6,223.3,±1 kHz,TACOMA,WA
34,KWDK,Full-power,310.6,223.3,±1 kHz,TACOMA,WA
23,K23HT-D,Translator (LPTV),317.0,133.4,None specified,ST. MARIES,ID
25,K25OP-D,Translator (LPTV),325.1,126.2,None specified,KELLOGG,ID
24,K13ABZ-D,Translator (LPTV),334.7,185.1,None specified,SUNNYSIDE,WA
31,K08QZ-D,Translator (LPTV),334.7,185.1,None specified,SUNNYSIDE-GRANDVIEW,WA
22,KTNW,Full-power,338.0,175.6,±1 kHz,RICHLAND,WA
26,KNDU,Full-power,338.0,175.6,±1 kHz,RICHLAND,WA
29,KRLB-LD,Low-power (LPTV),338.0,175.6,None specified,"RICHLAND, ETC",WA
31,K31KW-D,Translator (LPTV),338.0,175.6,None specified,RICHLAND,WA
36,KBWU-LD,Low-power (LPTV),338.0,175.6,None specified,"RICHLAND, ETC.,",WA
24,KQUP,Full-power,341.2,146.8,±1 kHz,PULLMAN,WA
26,K26NM-D,Translator (LPTV),341.2,146.8,None specified,PULLMAN,WA
18,KEPR-TV,Full-power,344.4,173.3,±1 kHz,PASCO,WA
21,K21OT-D,Translator (LPTV),344.4,173.3,None specified,PASCO-KENNEWICK,WA
28,K28QK-D,Translator (LPTV),344.4,173.3,None specified,PASCO,WA
32,K32KY-D,Translator (LPTV),344.4,173.3,None specified,PASCO,WA
23,K23JU-D,Translator (LPTV),346.0,181.9,None specified,PROSSER,WA
34,K34MZ-D,Translator (LPTV),346.0,181.9,None specified,PROSSER,WA
15,KVVK-CD,Class A,347.6,173.8,±1 kHz,"KENNEWICK, ETC.",WA
27,KVEW,Full-power,347.6,173.8,±1 kHz,KENNEWICK,WA
21,K17PA-D,Translator (LPTV),349.2,124.7,None specified,MULLAN,ID
